@relation sentimental-analizerTeste


@attribute texto string
@attribute quantAdjetivoPositivo numeric
@attribute quantAdjetivoNegativo numeric
@attribute quantVerboPositivo numeric
@attribute quantVerboNegativo numeric
@attribute classTeste {positivo, negativo, neutro}


@DATA
'Em ato no Rio  Dilma classifica como assustador primeiros dias da gestão Temer: Em discurso durante ato con... https://t.co/F32n3NHdji\n&#3;',0,0,1,0,positivo
'Sem alarde  Câmara cria 14.419 cargos federais  quase quatro vezes o que Temer prometeu cortar | @... https://t.co/9lkEabwhcK\n&#3;',0,0,1,0,positivo
'Ministro das Cidades: Dilma passou ‘cheques sem fundo’ a estados e municípios https://t.co/L56ma9J2CD\n&#3;',0,0,0,0,neutro
'Em ato no Rio  Dilma classifica como assustador primeiros dias da gestão Temer: Em discurso durante ato con... https://t.co/tbHQy3oXDb\n&#3;',0,0,1,0,positivo
'Em ato no Rio  Dilma classifica como assustador primeiros dias da gestão Temer: Em discurso durante ato con... https://t.co/tbHQy3oXDb\n&#3;',0,0,1,0,positivo
'CorruPTa! 😡 https://t.co/x8uvEJXB12\n&#3;',0,1,0,0,negativo
'País é agredido por um absurdo trem da alegria https://t.co/ema3vmX1B7 @micheltemer Brasil de quase 12mi desempregados  reajuste de até 41%?\n&#3;',0,2,0,1,negativo
'Boulos e o MTST mostraram que  se a esquerda se unir  Temer recua até cair. Por Mauro Donato https://t.co/Fiyiyvhpkg\n&#3;',0,0,1,1,neutro
'Em ato no Rio  Dilma classifica como assustador primeiros dias da gestão Temer: Em discurso durante ato con... https://t.co/Qlc4QzsRWl\n&#3;',0,0,1,0,positivo
'Em ato no Rio  Dilma classifica como assustador primeiros dias da gestão Temer: Em discurso durante ato con... https://t.co/Qlc4QzsRWl\n&#3;',0,0,1,0,positivo
'PF agora pegou Dilma com dinheiro na Cueca.https://t.co/226Xh2mxAA\n&#3;',0,0,0,0,neutro
'Sen vamos enfrente para acelerar este impeachment deste governo ilegítimo 11 milhões desemprego #OlimpiadasSemDilma  https://t.co/Wu1BE7qp8R\n&#3;',0,1,1,0,positivo
'"Vai lá lavar os pratos  anda!""Mas querida  tá hora do jog...""ANDA!!!!!" https://t.co/NWUbAchLZB\n&#3;',1,0,0,0,positivo
'Dilma sempre dizia: não ficará pedra sobre pedra  mas golpearam o governo pra obstruir a Lava jato  e gentona... https://t.co/Ax8Zv1MxbE\n&#3;',0,0,1,0,positivo
'MP: secretária de Temer integrou articulação criminosa | Brasil 24/7 https://t.co/iFtiScrAU3\n&#3;',0,1,1,0,positivo
'Secretária fez parte de articulação criminosa  diz Procuradoria https://t.co/3BHfseJqrY\n&#3;',0,0,0,0,neutro
'Dilma tem plano de governo para 3º mandato: gastar adoidado  criar novo imposto e controlar a imprensa!!! https://t.co/2ZfcTdRj6i\n&#3;',0,1,0,1,negativo
'Imagine se alguém dissesse: gov de mulheres velhas  gordas e feias. Seria a 3 guerra mundial. https://t.co/2OFeHHPxvr\n&#3;',0,3,0,0,negativo
'Imagine se alguém dissesse: gov de mulheres velhas  gordas e feias. Seria a 3 guerra mundial. https://t.co/2OFeHHPxvr\n&#3;',0,3,0,0,negativo
'#VoltaQuerida #ForaTemer https://t.co/ZoVwRvi3Ly\n&#3;',0,0,0,0,neutro
'#Yaracuy #ArcangelAlvarado RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff https://t.co/9ORdnsDKIL …\n&#3;',0,0,0,0,neutro
'#Yaracuy #ArcangelAlvarado #Venezuela #Yaracuy #ArcangelAlvarado RT VTVcanal8: Mujeres se movilizan en Brasil en respaldo a Dilma Rousseff …\n&#3;',0,0,0,0,neutro
'MP: secretária de Temer integrou articulação criminosa | Brasil 24/7 https://t.co/ZusnjVaCfF\n&#3;',0,1,1,0,positivo
'MP: secretária de Temer integrou articulação criminosa | Brasil 24/7 https://t.co/iFtiScrAU3 https://t.co/2YZ26z7v8M\n&#3;',0,1,1,0,positivo
'STF determina que presidente da EBC exonerado por Temer retorne ao cargo https://t.co/dkNhh50aq7 via @JornalExtra\n&#3;',0,0,1,0,positivo
'@UOLNoticias @UOL que se dane DILMA!ela pode REBOLAR!NÃO voltará!Pode procurá outra coisa pra FAZER!O Brasil dispensa seu trabalho!\n&#3;',0,0,0,0,neutro
'@dilmabr @ArmandoPTB Com essa recessão o PT nunca fala do desemprego que ele causou.PT teria que mudar antes dos rebaixamento\n&#3;',0,0,0,0,neutro
'Dilma mentiu sobre Pasadena  diz Cerveró https://t.co/XWER7FQ6v9 via @veja\n&#3;',0,0,0,1,negativo
'Dilma mentiu sobre Pasadena  diz Cerveró https://t.co/BcEK9TfTta via @veja\n&#3;',0,0,0,1,negativo
'pinguei https://t.co/lR0Zhw264l\n&#3;',0,0,0,0,neutro
